ID,1-738,1-739,1-740,1-721,1-736,1-737,1-741,1-750,2-738,2-740,2-739,2-741,3-749,3-740,3-750,3-741,5-736,5-738,5-721,5-737,5-739,5-720,5-740,5-752,6-750,6-738,6-739,6-740,6-752,6-749,6-741,6-737,6-736,7-750,8-680,8-684,8-719,9-719,9-752,9-738,9-736,9-750,9-739,9-737,10-752,10-749,10-748,10-750,12-680,12-719,12-718,12-756,13-756,13-752,13-719,13-718,13-753,13-755,13-747,13-736,13-748,15-768,16-716,16-756,16-757,16-666,16-718,16-758,16-680,16-768,16-759,16-669,17-756,17-757,17-712,17-747,17-755,17-718,17-753,19-768,19-666,19-716,19-756,20-712,20-759,20-758,20-761,20-757,20-756,20-709,20-760,20-710,20-711,20-764,21-712,23-763,23-761,23-764,23-709,23-708,24-712,24-761,24-709,24-710,27-761,27-763,27-709,27-708,50-712,57-749,57-747,57-746,58-749,58-748,60-749,61-749,61-752,61-748,61-747,61-750,62-749,64-749,64-750,64-741,64-752,64-744,64-740,65-750,65-749,65-752,65-748,65-738,306-766,306-765,306-769,306-764,307-766,307-769,307-764,307-765,307-702,307-762,307-763,307-636,307-635,307-700,307-703,307-771,307-638,308-766,308-763,308-702,308-764,308-765,311-763,311-762,311-702,311-703,312-763,312-702,312-764,334-764,335-765,335-759,335-764,335-768,335-761,335-758,335-760,335-712,335-709,335-763,335-666,335-756,335-757,335-766,336-765,336-768,336-764,336-763,336-766,337-763,337-765,337-764,337-761,338-766,339-763,339-761,365-766,368-768,368-666,368-668,368-766,369-768,369-668,369-671,369-666,369-767,369-766,370-768,375-768,541-668,deltaE
1,8.2108,6.9618,7.9284,13.3015,11.0663,9.3127,12.2025,11.3364,9.4862,11.858,9.964,15.5601,14.2665,10.7645,10.5967,13.836,9.9052,9.2999,12.5913,12.626,11.5193,14.4193,14.5897,12.0985,6.7929,4.1932,6.0854,9.2258,8.6914,10.8848,11.2771,8.4928,8.1897,9.3278,14.1558,14.8823,10.3631,6.1083,6.3106,7.2401,6.6703,9.1251,10.9616,10.8956,6.69,9.3982,9.2762,8.4079,10.6509,7.7782,6.9811,10.5911,7.7636,6.7284,8.5183,8.1231,9.4394,11.0085,11.1633,10.7395,9.5516,13.3258,8.1651,6.0817,7.2986,10.1706,8.6622,8.7971,12.9133,10.6321,9.1465,13.2078,7.5104,9.3138,11.7477,12.0794,11.9298,11.0753,10.5582,9.8507,12.2467,13.3036,11.8074,8.7967,7.6425,11.7307,7.3649,9.5632,11.201,8.9393,11.2259,9.4602,12.0195,9.4889,12.0211,8.6257,6.2337,7.967,8.5338,11.1098,10.9887,8.8321,7.8977,10.0848,9.1666,9.8028,9.0501,10.2029,15.0018,9.3557,11.281,14.068,9.0338,8.8614,8.5976,5.4906,8.5863,7.4153,11.1596,6.9476,9.2648,7.145,6.4579,9.7491,11.0733,17.4479,10.3883,8.0065,10.1673,10.9197,12.6676,8.766,7.9956,6.8556,10.4502,10.5455,6.4695,7.9087,10.2524,6.7623,9.51,9.6986,8.267,16.9368,18.6304,10.047,12.4156,12.6564,12.8903,9.6598,6.4824,11.022,10.1525,8.2204,9.7359,11.2054,13.7134,14.1887,6.7244,13.47,11.5466,6.4483,7.3944,7.6681,4.7346,5.148,6.8729,9.7351,8.8777,11.6087,11.6249,8.869,9.013,12.9442,11.1282,10.8382,4.7439,6.2638,6.1192,7.588,8.216,5.2532,7.3054,6.3493,8.3016,11.3378,7.6625,11.7376,11.4893,8.6027,12.0947,10.8686,11.3236,9.2292,8.9975,13.8088,10.966,9.6165,12.3106,12.9153,11.4241,16.3058,-37.0561999999977
2,6.4758,7.1342,9.798,12.5836,10.6043,10.5727,11.8882,8.8056,10.1251,12.7217,10.4899,14.0282,10.8016,13.0388,9.2987,12.5988,12.384,10.0492,15.6538,14.4747,11.7777,16.2501,15.3608,11.4012,5.2474,6.3116,7.265,11.0191,7.7652,7.7487,10.7945,10.3386,9.7587,8.7554,13.8022,14.6782,11.2886,7.2284,6.0645,8.6369,8.8919,8.0935,11.0218,12.1632,7.69,6.9359,8.1296,8.896,10.4729,8.1375,7.0155,9.978,8.0135,6.8866,8.7612,7.9583,8.9042,10.9522,9.9634,11.5542,7.8893,13.6765,7.4232,5.6091,7.1184,9.9403,8.2242,7.9059,11.3693,9.9872,9.0745,12.984,6.7349,7.9126,9.5263,13.9363,11.3943,11.0153,11.2054,8.7351,11.3971,12.2718,10.5204,7.5129,6.6063,10.6992,7.4144,8.2349,9.7285,9.2371,10.4788,9.093,11.2068,9.488,11.3505,7.8856,6.1077,7.0456,9.1858,11.885,10.0943,7.7399,7.6828,9.3345,8.636,8.8478,9.5099,11.0892,15.8922,11.1839,11.3022,13.1862,9.818,9.5763,10.521,6.3056,10.9106,7.8988,10.5404,10.2781,9.274,6.7817,8.8023,11.6243,12.2706,16.0565,14.9912,8.9402,7.6645,11.5914,11.2096,13.0055,8.2828,7.5005,10.8686,11.793,7.8506,9.5129,11.8733,7.982,10.6366,11.34,9.9189,19.3524,21.2865,11.4053,13.4607,13.541,14.4907,9.5882,7.4807,11.0433,10.5713,7.9444,8.3427,9.6498,12.0017,12.7159,5.66,12.3071,10.1842,6.4288,6.5986,8.1389,4.5758,4.3828,8.023,9.7576,9.1665,12.5088,12.996,8.6991,9.0407,13.3205,11.6292,9.8743,4.5206,7.0177,6.4983,7.58,8.0947,4.9182,6.9292,6.3073,9.2324,11.4604,7.7195,12.669,12.6885,10.0464,13.1104,11.8511,13.3089,11.2995,11.1957,15.8937,12.9186,11.6068,14.9844,13.9912,12.065,18.1217,-46.8423999999982
3,9.6359,8.2925,11.4465,14.2717,12.8806,11.6434,14.73,12.0242,11.8408,15.0043,11.3164,17.3924,12.2186,14.7104,9.5526,15.8843,11.5028,11.3006,14.8271,13.4279,12.3469,16.5681,16.7966,12.2613,5.6477,6.8299,8.4944,13.059,8.1013,8.74,13.819,9.6407,8.9069,8.677,14.9081,15.0432,11.8075,7.1652,6.2466,9.8594,8.0811,8.2441,12.5433,11.4803,7.1317,7.0951,7.0812,7.7964,10.9052,8.4925,6.9463,10.7466,8.9817,5.9917,8.5599,8.066,9.5234,11.422,9.7744,11.3921,6.9771,12.9574,7.8347,5.6632,7.5926,9.3435,8.1756,8.388,11.9294,9.7499,9.5443,12.9927,6.6829,9.1717,11.671,11.8145,10.7297,10.3425,9.8338,9.1856,11.7272,12.1904,9.8455,7.8285,7.1621,10.9912,7.4201,8.557,9.6056,9.0538,10.8392,9.1048,11.6521,9.6482,11.9237,8.244,5.7447,7.2471,8.843,10.7746,11.6805,8.7534,8.4473,10.5718,9.054,10.2905,9.8446,10.8692,16.3117,10.2765,11.3067,13.3156,8.6152,7.357,10.0485,5.7789,10.8305,6.7526,10.2438,8.9555,8.7215,6.5057,7.3162,13.2894,12.2641,17.5816,15.3402,7.0997,7.3332,11.2513,10.1303,11.6324,8.9924,8.7476,12.0188,12.7149,8.3009,10.6023,13.1494,9.2933,11.7291,12.7279,10.8936,17.0661,18.6936,12.1219,13.5005,14.2658,15.1462,9.9889,7.4471,12.0724,10.9023,8.6001,8.2118,9.9953,12.1218,12.7718,6.0792,12.8815,10.7518,7.1378,7.0533,8.3577,5.0666,4.7764,7.5589,9.9724,9.3073,12.0408,12.2102,8.9325,9.7691,12.2552,11.2023,10.5553,4.7023,6.1918,6.789,7.6982,7.8983,5.2901,7.1551,6.7667,9.0361,11.264,7.8445,12.2916,11.831,9.7797,14.1685,11.6734,12.1478,10.6823,10.1533,14.5854,13.2535,11.0481,13.3327,13.7776,11.5473,17.727,-39.7743
4,4.7848,5.3086,5.5253,10.0953,9.1722,7.5164,10.4675,8.4462,8.1706,8.2471,8.9391,13.2401,12.2355,9.2846,9.3176,12.9236,9.5829,7.078,11.8857,11.4606,9.598,14.3789,10.9382,11.8889,4.8972,5.2434,6.334,7.6498,9.6869,8.5544,10.5434,9.574,9.8599,8.2591,13.9763,14.1468,10.4169,6.5846,6.9515,6.9219,7.2568,7.3355,9.9499,10.9801,8.0496,9.1261,10.0966,7.5609,10.3431,7.755,6.6475,10.2818,8.8287,6.5542,9.0792,8.3791,10.9081,11.8681,11.7017,10.7692,10.2178,13.6655,8.0251,6.0227,7.3299,9.9139,8.4185,8.0806,11.9582,10.9895,9.2601,13.0332,7.297,9.1054,9.6833,14.356,11.8016,10.8021,11.5866,9.2728,11.6932,13.776,12.3637,8.3322,7.5594,11.0529,8.3708,9.5562,10.9456,9.7522,11.1027,9.497,12,9.565,11.7605,8.1816,6.7153,7.4973,9.3791,11.9192,11.395,8.8831,8.7822,10.385,9.5859,9.6309,10.8747,12.0652,15.8432,11.0646,13.1132,16.2032,11.0651,11.1958,11.0944,7.2922,10.9578,8.9594,12.4006,8.9992,10.4811,7.8905,7.6565,11.2747,12.9601,17.654,10.9734,8.2943,9.8689,12.6719,12.9429,11.0455,7.3859,6.9304,9.8247,10.9961,9.5426,11.0805,13.2079,9.8119,11.528,12.3037,11.3653,16.6158,17.592,12.0852,11.7773,14.4868,13.5359,9.8024,6.9393,10.4508,9.6925,7.9439,8.6994,9.6576,11.7257,11.2461,6.3533,12.6557,10.4269,7.0299,6.9232,7.5331,4.554,4.6004,7.6719,9.4018,8.8634,11.3362,11.9818,8.3175,8.7516,13.5071,10.9595,10.1495,4.4502,5.7766,5.9358,7.4548,7.8974,5.0073,7.217,5.8827,8.6903,10.8826,7.6683,12.0811,11.5277,9.694,12.0314,9.4275,11.9277,11.8156,9.379,12.7919,12.3956,11.4117,14.3516,13.8192,10.7417,18.2229,-38.3806000000004
5,4.4954,5.648,5.9221,10.4039,9.3794,8.1793,11.8195,8.4798,7.9647,8.4335,8.808,14.0762,11.8234,9.7016,8.7922,13.2743,10.5312,7.4049,12.6488,12.1732,9.9967,15.3227,11.5074,12.2233,4.7183,5.171,6.1092,8.2313,9.5191,8.4465,11.2617,10.195,10.2668,7.9886,14.6328,14.1627,11.1122,7.0966,6.8238,7.2094,7.9988,7.1127,10.0285,11.1915,7.6923,9.0947,9.5676,7.4783,10.6321,8.7062,6.8455,9.9246,7.756,6.2329,8.7664,8.0419,10.4291,11.4165,11.4509,11.2334,9.522,13.5279,8.0424,5.9264,6.7924,10.8481,8.5891,8.474,11.7244,10.8726,9.1784,14.196,7.9145,8.5859,10.0511,14.0193,12.3279,11.7539,12.0045,9.2917,12.0967,13.3054,12.1256,7.48,6.9714,10.5007,7.7404,8.1897,10.463,8.5202,10.7946,8.5999,11.6222,9.7529,10.6264,8.5188,6.3092,7.2481,8.0165,10.4749,10.2089,8.5944,7.2828,9.433,9.5422,9.4108,9.5407,10.4662,13.2369,11.0183,13.1136,16.1816,10.5945,10.54,11.417,7.34,11.1036,9.2226,12.7269,8.9537,10.8436,7.8704,7.9753,11.5524,12.8199,19.2214,12.5096,8.2013,9.7096,12.4182,12.5828,11.4225,8.2952,6.2878,9.9469,9.8427,6.7111,8.5276,10.8888,6.8326,10.6842,11.0205,9.4404,17.4067,19.0723,11.0568,12.7349,12.7814,13.8438,10.3923,6.3636,11.4383,9.7543,8.1222,8.9171,10.6893,12.9279,12.6261,6.7506,13.7826,11.1589,6.4954,6.6691,7.915,4.4773,4.1662,7.3909,9.0085,8.6082,11.7792,11.5713,8.9219,8.2939,13.2022,10.761,10.0266,4.8338,6.6019,6.2331,7.7253,8.7318,5.2707,7.1441,5.9085,8.7018,11.8483,7.8505,12.3496,13.1902,10.9582,12.8763,11.0487,13.7786,12.968,11.501,15.9394,13.5144,13.259,16.1331,15.1681,11.6526,18,-33.0069999999992
6,4.4733,5.1358,6.7992,10.0172,9.2331,8.8412,11.413,7.8998,8.2318,9.1098,8.667,14.1921,12.2316,10.1426,9.6856,14.1576,11.1387,8.16,12.9506,13.2198,10.2955,14.785,12.4212,12.4736,5.0145,5.3762,6.2163,8.1329,9.9597,8.3399,11.2815,10.7655,10.5391,7.9281,14.2562,13.8115,10.2043,6.2765,6.9899,7.2501,7.9764,7.3152,10.2281,11.379,8.1805,8.7237,10.1272,7.7106,10.712,7.5497,6.5391,9.7601,6.6938,6.1338,7.859,6.9529,9.427,9.5645,11.3187,10.6106,10.3311,13.4791,7.8464,5.771,7.429,10.2217,7.8605,8.8,11.362,9.9448,9.7888,13.679,7.4933,9.1374,11.1781,14.0451,11.5419,10.9769,11.6758,9.1041,12.3257,13.7055,11.646,8.2887,7.7236,12.0658,7.3574,9.2237,11.0193,9.4662,11.3097,9.8714,11.8029,9.8393,11.9052,8.3216,6.158,7.5866,8.9007,11.2322,10.8728,8.5458,8.6321,10.5544,9.2629,9.8375,9.8691,10.9586,14.5731,12.144,14.7246,17.5361,10.8755,11.5978,11.3848,7.3388,11.2947,9.5176,12.9033,9.4423,10.8182,7.3972,9.0626,12.8864,13.5304,18.7748,12.9816,8.5825,9.1344,12.8488,12.5599,11.4571,8.4514,7.1215,10.4962,10.6724,7.627,8.7785,10.675,7.5082,10.2032,9.9076,8.4374,16.0503,17.9883,11.402,12.0582,13.1725,14.3579,10.8538,6.5698,12.0612,10.1698,8.7924,8.3019,10.1282,12.9995,13.1555,6.6383,13.7164,11.1597,6.5496,6.7348,7.7251,4.3619,4.1592,7.3446,9.6682,8.7286,11.7451,12.0691,8.4694,8.6915,12.8194,10.6212,10.4316,4.6615,6.7934,5.9867,7.1436,8.5727,4.9406,7.6037,6.2685,8.9193,11.9506,7.7633,12.4289,12.2174,10.9096,12.6835,11.1893,13.0309,12.0485,10.5838,15.116,12.3962,12.1465,14.7201,14.5566,11.4471,18.1412,-43.7964000000015
7,4.1086,5.358,5.8726,11.9304,8.8664,8.3248,10.1705,8.0107,7.7143,8.0037,8.6113,12.0499,11.5632,9.3281,8.6597,11.7121,10.8762,7.7011,14.9118,12.6683,10.2006,15.5071,11.3915,11.5292,4.6286,5.1305,6.2122,7.7116,8.9047,8.4033,10.0623,9.7892,10.0042,8.0225,13.9708,14.0935,10.6649,6.8361,6.131,6.916,7.8395,7.4835,9.764,10.7664,7.6266,8.8507,9.1526,7.5158,11.2887,8.5839,7.0314,9.8505,6.9363,5.8607,7.5469,7.0823,8.0865,9.4033,10.1033,10.0729,9.9425,13.2412,8.2244,5.4789,7.614,9.5827,8.4648,8.8764,11.8251,9.5905,10.3667,12.7727,8.0562,9.3142,11.1686,12.6537,11.4858,11.6531,10.3931,8.4362,11.8176,13.3677,11.1257,7.9213,7.756,11.2362,8.7068,8.7357,10.6142,10.325,11.3736,9.8742,12.006,9.5564,11.9105,8.3486,6.5557,7.0875,9.5469,11.9508,11.4568,9.0266,9.1039,10.7518,9.0944,9.9347,10.1442,11.6396,14.7364,11.169,12.0638,14.7355,10.2041,9.4314,10.1811,6.6931,10.7051,7.7452,11.1985,8.6308,10.4546,6.713,8.122,11.7136,12.8232,17.1472,13.1298,7.8332,8.8793,12.145,11.6154,11.4129,6.6226,6.7424,9.2274,11.0306,10.066,10.8029,12.6476,10.0554,10.241,10.2156,9.4145,16.5102,18.3844,11.8563,11.541,14.7028,15.4605,10.0123,6.0756,10.2278,9.8622,8.3327,9.0453,9.6924,11.855,12.401,6.4699,12.831,11.2081,6.5934,6.3922,8.2431,4.5103,4.2677,7.9386,9.6946,9.0168,11.3708,12.6119,8.5224,9.2807,12.4738,10.8248,10.0356,4.982,7.0369,6.7581,7.4655,8.5858,5.0403,7.3632,6.3677,8.6216,11.8271,7.4857,11.5952,11.7151,10.7461,13.9596,11.6588,12.7499,12.462,11.2598,16.1895,14.1407,12.8431,14.6787,14.7737,11.3801,19.0275,-44.1298000000006
8,4.5879,5.1361,6.9348,8.9452,9.2671,8.162,11.1451,8.3723,7.8261,8.7734,8.0208,12.6817,11.5715,10.1912,8.7428,12.3738,10.6281,7.5781,11.2477,12.1349,9.8457,14.8913,12.5025,11.4446,4.902,5.1884,6.2207,8.7881,9.0591,8.598,10.7927,9.2892,9.8801,8.0308,14.2332,13.8089,10.1683,6.4495,6.1859,7.0446,7.7091,7.6006,9.9941,10.6185,7.7429,8.7975,9.2345,7.9268,10.2691,7.5101,6.5259,9.5973,6.8757,6.7732,8.21,6.9746,9.2526,10.1615,11.1744,11.0079,10.0757,13.7186,8.1287,5.8873,7.214,9.2524,8.3022,8.8447,11.676,10.1515,9.4212,12.9392,6.3064,7.7936,10.6336,13.2903,10.5732,9.9425,10.2323,9.5535,12.0937,13.4924,11.3658,8.2351,7.819,12.1891,7.5218,8.7554,10.6559,8.944,11.3847,9.0817,11.8841,9.9866,11.7114,8.2111,6.2588,7.337,8.8162,11.175,11.4487,8.0374,7.5124,9.7529,9.1721,9.4573,9.4538,10.5439,14.3904,10.7148,11.9229,15.06,10.7148,10.4656,10.6594,6.9246,10.8064,8.393,11.7375,9.0622,10.4418,7.2701,8.9237,12.1173,13.3621,17.6825,13.9988,8.0153,8.8396,12.2663,11.8268,11.2955,7.7217,7.062,10.3305,11.0674,8.4919,9.773,11.9516,8.8374,10.2748,10.8082,9.5352,16.6766,18.6232,11.176,10.8711,13.9781,14.5013,10.0565,6.8111,11.1616,10.198,8.3865,9.5549,11.3191,13.5211,13.198,6.2514,13.1896,10.7862,6.77,6.7429,8.295,4.575,4.8166,7.5705,10.2574,9.1388,12.3033,12.1492,8.7166,9.2343,12.7323,10.8222,10.4704,4.5618,6.5196,6.4553,7.7433,8.2445,5.223,7.0219,6.1694,8.9251,11.608,7.7487,12.2018,12.3773,10.5884,13.6741,11.3319,13.1872,11.7703,10.2818,15.4068,13.1026,12.1914,14.8422,14.6142,11.7788,17.8975,-32.0010999999986
9,4.426,5.6305,5.9343,11.1826,9.3731,7.9324,11.0215,8.4754,7.9516,8.1434,8.7327,12.9005,12.6576,9.6975,9.349,12.5569,11.4404,7.7748,14.2259,12.2317,10.16,15.8393,11.2662,11.7048,4.9511,4.8871,6.0681,7.9026,8.9936,8.8447,10.4487,9.4225,10.5372,7.9967,13.0252,13.0434,10.5958,7.1774,6.0829,6.7895,8.1626,7.7023,9.7164,10.6496,7.9782,8.8563,9.5119,7.7448,9.197,7.316,6.6438,9.8205,7.1744,6.2896,7.9525,7.1137,8.6533,10.0292,10.2475,10.575,9.2692,13.4405,7.5409,5.4774,7.188,10.0085,8.1314,8.6431,11.1395,10.8837,9.4632,13.4305,6.5839,9.0702,11.4483,12.2723,10.8725,10.0855,9.9036,9.9001,12.1563,13.2769,11.4412,8.3765,7.6711,11.7771,7.5202,9.2248,10.5026,8.6288,11.3899,9.4851,12.2461,9.9373,12.265,8.3985,6.3872,7.3711,8.7689,11.6035,12.6561,8.9868,8.5421,11.3273,9.8598,9.8482,10.2092,11.6387,15.4896,9.9772,12.2013,15.1222,10.1556,10.0141,10.8355,7.0451,11.2483,8.8254,12.5053,8.6978,10.9125,8.022,8.8593,13.265,13.8228,18.7055,15.1101,8.1281,9.5634,12.4444,12.4726,11.3994,6.9157,7.5929,9.6361,11.7414,11.2025,12.4694,14.5412,11.6189,12.0038,11.9196,10.672,16.7264,18.6409,13.4147,13.2093,16.4624,17.2458,9.9846,6.3821,10.3004,10.6735,8.7237,8.5858,9.7638,12.386,13.481,6.8192,13.3917,11.9391,6.5753,7.3433,8.0158,4.8202,4.7615,7.6367,9.453,9.0624,12.0251,11.9555,9.1683,8.4403,12.5868,10.7795,11.1376,4.4356,5.9517,6.1086,7.2812,7.9073,4.8205,7.0239,6.2661,8.7439,10.6035,7.3922,12.3841,9.709,9.137,11.1714,8.6276,11.9613,10.5817,8.5398,13.1536,10.7748,11.5448,14.1557,13.27,10.5758,14.5984,-44.6017000000002
10,6.0545,5.326,7.2645,10.8544,9.9774,8.6995,10.2433,9.8169,8.3263,8.4388,7.2503,10.5856,11.0444,10.6937,8.4945,10.2353,10.9134,7.9237,13.4533,11.6268,9.2661,15.0984,12.209,11.8487,5.1496,4.9109,6.5016,9.9477,9.0067,8.7042,9.2569,9.1048,9.9335,8.5369,12.853,12.6807,9.8959,6.7222,6.1658,6.9519,7.5701,7.5911,10.2504,10.002,8.0099,9.3151,10.0237,8.1752,9.653,7.2169,6.1648,10.1332,7.2011,6.5037,7.9052,6.9387,8.6568,10.163,11.2021,10.794,10.1435,13.8252,7.8153,5.6023,7.3377,10.1018,7.4867,8.4274,10.6986,10.7538,10.0387,12.9023,6.9617,9.2984,11.6096,13.6405,11.1044,9.872,10.2186,9.1024,11.5238,13.1803,11.073,8.7629,8.2346,11.0674,9.0734,8.6827,9.5534,10.3517,11.7374,10.2028,12.6536,10.6173,12.7725,8.8865,6.4915,7.6695,8.9879,12.2552,12.6009,9.4546,9.2305,11.4543,9.0144,9.394,10.0357,11.975,15.5296,10.9423,12.508,15.8227,10.4591,10.229,10.9884,7.041,10.6134,8.7459,12.3499,8.5289,10.9768,8.1969,8.9451,12.3527,13.6059,18.916,15.7923,8.0462,8.891,11.9896,11.8622,10.7652,5.8775,5.8324,8.3912,10.0873,9.802,11.2872,13.5889,10.3544,11.5553,11.9047,10.953,16.5924,18.2538,12.4604,13.1715,15.1535,15.6375,10.1167,6.6977,10.6416,10.4233,8.6672,9.1768,10.4479,13.3719,13.5136,6.2075,13.3507,10.873,6.7647,7.2461,7.8621,4.5612,4.9529,6.9414,9.4107,8.8337,11.4435,11.0854,8.7298,9.0172,13.0049,10.7448,10.6969,4.1228,5.6824,5.8099,7.5079,7.6719,5.324,6.8403,6.0799,8.3432,10.24,7.2767,11.4545,9.8564,9.041,10.7153,8.3732,11.6039,10.7357,7.8005,13.208,10.629,10.6336,13.8122,13.2415,10.2181,12.8512,-38.0387000000023
